"typ_model","typ_punktu_osadniczego"
"agentura pocztowa","Agentura pocztowa"
"arcyksięstwo","nie dotyczy"
"awuls","Awuls"
"bagna","nie dotyczy"
"bagna torfiste","nie dotyczy"
"bagnisko","nie dotyczy"
"bagno","nie dotyczy"
"bagno torfiaste","nie dotyczy"
"baraki","Baraki"
"bińduga","Port czyli binduga"
"błota","nie dotyczy"
"błotko","nie dotyczy"
"błoto","nie dotyczy"
"borek","nie dotyczy"
"bór","nie dotyczy"
"bory","nie dotyczy"
"bród","nie dotyczy"
"browar","Browar"
"buda","Budy"
"budy","Budy"
"cegielnia","Cegielnia"
"chata","Chaty"
"chata rządowa","Chaty"
"chaty","Chaty"
"chutór","Chutor"
"chutor","Chutor"
"chutor szlachecki","Chutor"
"chutory","Chutor"
"cieplica","nieokreślony"
"cieśnina","nie dotyczy"
"cmentarz","nie dotyczy"
"cmentarzysko","nie dotyczy"
"cmentarzysko przedhistoryczne","nie dotyczy"
"cukrownia","Cukrownia"
"cypel","nie dotyczy"
"część arcyksięstwa","nie dotyczy"
"część brzegów","nie dotyczy"
"część brzegów rzeki","nie dotyczy"
"część danej miejscowości (wsi, miasta)","Część danej miejscowości (wsi, miasta)"
"część dóbr","Dobra"
"część doliny","nie dotyczy"
"część gminy","nie dotyczy"
"część jeziora","nie dotyczy"
"część Karpat","nie dotyczy"
"część kolonii","Część danej miejscowości (wsi, miasta)"
"część kraju","nie dotyczy"
"część lasu","nie dotyczy"
"część liniowa","nieokreślony"
"część miasta","Część danej miejscowości (wsi, miasta)"
"część miasteczka","Część danej miejscowości (wsi, miasta)"
"część miejscowości","Część danej miejscowości (wsi, miasta)"
"część miejscowości","Część danej miejscowości (wsi, miasta)"
"część nizinna","nie dotyczy"
"część obszaru dworskiego","Obszar dworski"
"część obszaru gruntów","nieokreślony"
"część obszaru","nieokreślony"
"część obszaru tabularnego","nieokreślony"
"część okolicy","Część danej miejscowości (wsi, miasta)"
"część płaskowzgórza","nie dotyczy"
"część powiatu","nieokreślony"
"część przedmieścia","Część danej miejscowości (wsi, miasta)"
"część rowu","nie dotyczy"
"część wioski","Część danej miejscowości (wsi, miasta)"
"część włości","nieokreślony"
"część wsi","Część danej miejscowości (wsi, miasta)"
